,Description
sweat,symptom asdasdasda d asd as dasd asd asd asd a sd
catatonia,symptom asdasdasda d asd as dasd asd asd asd a sd
thicken,symptom asdasdasda d asd as dasd asd asd asd a sd
unresponsiveness,symptom asdasdasda d asd as dasd asd asd asd a sd
lesion,symptom asdasdasda d asd as dasd asd asd asd a sd
emphysematous change,symptom asdasdasda d asd as dasd asd asd asd a sd
abdominal tenderness,symptom asdasdasda d asd as dasd asd asd asd a sd
projectile vomiting,symptom asdasdasda d asd as dasd asd asd asd a sd
mental status changes,symptom asdasdasda d asd as dasd asd asd asd a sd
malaise,symptom asdasdasda d asd as dasd asd asd asd a sd
pain abdominal,symptom asdasdasda d asd as dasd asd asd asd a sd
hyperkalemia,symptom asdasdasda d asd as dasd asd asd asd a sd
decreased body weight,symptom asdasdasda d asd as dasd asd asd asd a sd
vertigo,symptom asdasdasda d asd as dasd asd asd asd a sd
hemodynamically stable,symptom asdasdasda d asd as dasd asd asd asd a sd
wheelchair bound,symptom asdasdasda d asd as dasd asd asd asd a sd
pain chest,symptom asdasdasda d asd as dasd asd asd asd a sd
mood depressed,symptom asdasdasda d asd as dasd asd asd asd a sd
chill,symptom asdasdasda d asd as dasd asd asd asd a sd
unsteady gait,symptom asdasdasda d asd as dasd asd asd asd a sd
chest discomfort,symptom asdasdasda d asd as dasd asd asd asd a sd
guaiac positive,symptom asdasdasda d asd as dasd asd asd asd a sd
fall,symptom asdasdasda d asd as dasd asd asd asd a sd
yellow sputum,symptom asdasdasda d asd as dasd asd asd asd a sd
pleuritic pain,symptom asdasdasda d asd as dasd asd asd asd a sd
orthopnea,symptom asdasdasda d asd as dasd asd asd asd a sd
productive cough,symptom asdasdasda d asd as dasd asd asd asd a sd
asthenia,symptom asdasdasda d asd as dasd asd asd asd a sd
feeling hopeless,symptom asdasdasda d asd as dasd asd asd asd a sd
sore to touch,symptom asdasdasda d asd as dasd asd asd asd a sd
labored breathing,symptom asdasdasda d asd as dasd asd asd asd a sd
lethargy,symptom asdasdasda d asd as dasd asd asd asd a sd
nightmare,symptom asdasdasda d asd as dasd asd asd asd a sd
rale,symptom asdasdasda d asd as dasd asd asd asd a sd
chest tightness,symptom asdasdasda d asd as dasd asd asd asd a sd
tremor,symptom asdasdasda d asd as dasd asd asd asd a sd
feeling suicidal,symptom asdasdasda d asd as dasd asd asd asd a sd
redness,symptom asdasdasda d asd as dasd asd asd asd a sd
abdominal discomfort,symptom asdasdasda d asd as dasd asd asd asd a sd
acute episodes,symptom asdasdasda d asd as dasd asd asd asd a sd
bleeding from anus,symptom asdasdasda d asd as dasd asd asd asd a sd
blood in stool,symptom asdasdasda d asd as dasd asd asd asd a sd
bowel obstruction,symptom asdasdasda d asd as dasd asd asd asd a sd
chronic back pain,symptom asdasdasda d asd as dasd asd asd asd a sd
cough with phlegm,symptom asdasdasda d asd as dasd asd asd asd a sd
coughing,symptom asdasdasda d asd as dasd asd asd asd a sd
coughing up blood,symptom asdasdasda d asd as dasd asd asd asd a sd
cramping,symptom asdasdasda d asd as dasd asd asd asd a sd
crying,symptom asdasdasda d asd as dasd asd asd asd a sd
dark stool from digested blood,symptom asdasdasda d asd as dasd asd asd asd a sd
dehydration,symptom asdasdasda d asd as dasd asd asd asd a sd
difficulty breathing,symptom asdasdasda d asd as dasd asd asd asd a sd
difficulty speaking,symptom asdasdasda d asd as dasd asd asd asd a sd
discomfort,symptom asdasdasda d asd as dasd asd asd asd a sd
drooping of upper eyelid,symptom asdasdasda d asd as dasd asd asd asd a sd
dry cough,symptom asdasdasda d asd as dasd asd asd asd a sd
fainting,symptom asdasdasda d asd as dasd asd asd asd a sd
falling,symptom asdasdasda d asd as dasd asd asd asd a sd
fast breathing,symptom asdasdasda d asd as dasd asd asd asd a sd
